head,rel,tail
title,related to,##h
title,speaking,name
title,related to,role
battle,related to,battle battle
battle,related to,##tle
battle,related to,##h
8title,related to,text
end,related to,8title
8titletitle,related to,text
title,related to,8titletitle
name,given,name
name,related to,government
name,related to,##q
name,related to,ofq
name,related to,dynasty
title,related to,##ang
end,related to,the
second,attribute,second
part,related to,background
background,related to,part
parts,related to,background
background,related to,parts
are,related to,background
background,related to,are
name,related to,background
background,related to,name
most,related to,background
background,related to,most
word term,related to,background
background,related to,word term
word name,related to,background
background,related to,word name
background,related to,earth
background,related to,sea movement
background,related to,between
background,related to,plates
background,related to,ocean
word,related to,background
background,related to,word
name name,related to,background
background,related to,name name
earth,related to,word
background,related to,lith
end,activity,moving
earth,related to,the
earth,related to,background
background,related to,con
background,related to,how
background,related to,##ect
background,related to,coupling
plates,attribute,rigid
background,related to,surface
background,related to,##on
term word,related to,background
background,related to,term word
term name,related to,background
background,related to,term name
mantle,related to,background
background,related to,mantle
ocean,related to,background
background,related to,term term
background,related to,plate
background,related to,notic
background,related to,floor
term,related to,background
background,related to,term
background,related to,types
background,related to,t t
background,related to,plates plates
background,is is,background
background,are are,background
background,related to,the
the,related to,word
background,related to,earth earth
background,related to,lit
earth,attribute,rigid
background,related to,' s
plates,related to,text
background,are is,background
background,activity,are does
background,activity,is do are
plate,related to,background
lith lith,related to,background
background,related to,lith lith
background,related to,movement
term,used,background
background,related to,mantle mantle
background,are does,background
lith,related to,background
term,attribute,upper
background,related to,boundary
background,related to,intitle
background,related to,whichtitle
background,related to,##q a
background,related to,name term
plate,related to,name
0title,related to,background
background,related to,0title
when,related to,background
##tle,related to,when
##q,related to,background
##q,was,background
background,related to,when
name,attribute,what
word,used,background
word,attribute,lith
name,related to,word
background,related to,lithosphere
background,related to,lithosphere lith
osphere,related to,lithosphere
background,related to,osphere
background,related to,##hq
background,related to,a notq
##h,related to,background
background,related to,##h
background,related to,theq
##cene,attribute,##lo
end,related to,thetitle
name,related to,##cene
period period,related to,name
period,related to,name
era,related to,name
eon,related to,title
titletitle,related to,eon
eon,related to,titletitle
the,related to,eon
eon,related to,the
eon,related to,timeline
eon,related to,scale
name,related to,eon
eon,related to,scale scale
timeline,attribute,third
scale,related to,eon
era era,attribute,recent
eon,related to,text
era,attribute,recent
eon,activity,is is
fourth,attribute,third
fourth,attribute,fourth
background,related to,short
background,does does,background
background,does,background
background,related to,time
period,related to,background
background,related to,period
background,related to,##title
background,related to,second
background,related to,timeline
third,attribute,second
background,related to,third
name,attribute,most
background,related to,scale
background,related to,era
background,related to,epoch
background,related to,in in
background,related to,qu qu
background scale,related to,text
background,activity,does does
background,related to,ple
second,related to,background
scale,related to,name
epoch,attribute,latest
hol,related to,epoch
background,related to,hol
end,related to,hol
istitle,related to,background
background,related to,istitle
background,related to,##le
background,activity,is is is
background,related to,notq
background,related to,q nottitle
q name,related to,background
background,related to,q name
##itle,related to,background
background,related to,##itle
background,name,background
does,related to,background
timeline,related to,background
background,related to,does
background,is is is,background
whichtitle,related to,background
what,related to,background
background,does is,background
background,activity,does are
ages,related to,text
end,related to,ages
titletitle,related to,ages
ages,related to,titletitle
title,related to,ages
ages,related to,title
correlation,related to,title
ages,related to,relative
type,related to,what
ages,related to,type
type,related to,text
dating,related to,title
ages,related to,dating
type,attribute,what
was,related to,title
correlation difference,related to,title
method,related to,correlation
correlation,used,date
correlation,help,rock
units,activity,determine
ages,activity,using
correlation,help date,rock formations
correlation,help date,rock formations formation
end,related to,correlation
title,related to,correlation
fossil,attribute,fossil
title,related to,rock
rock,related to,title
material,attribute,datable
difference,related to,title
rock,related to,text
##t,related to,text
rock,related to,type
strat,related to,title
rock,related to,method
correlation,used,date date
rock,activity,determine
rock,activity,help
rock,related to,date
rock formations,activity,help date
end,related to,time
title,related to,time
understanding,related to,title
ages,attribute,absolute
title,related to,beginning
end,related to,century century
dating,related to,text
titletitle,related to,century
title,related to,century
dating ability,related to,type
correlation,related to,type
background,was,background
type,related to,background
background,related to,dating
background,related to,correlation
background,related to,date
correlation,used,help
correlation,using,background
background,activity,determine
rocks,related to,correlation
background,related to,rocks
dating,related to,correlation
rock,related to,dating
background,related to,rock
text,related to,##tle
correlation,related to,dating
correlation,used used,correlation
correlation,related to,stratigraph
end,related to,##q
correlation,related to,text
correlation,related to,rock
background,related to,type
background,activity,is did was
background,related to,scientists
background,related to,isot
background,related to,toq
background,related to,help
background,related to,formations
background,related to,sections
background,related to,background in
background,related to,##t
background,related to,start
background,related to,stop
background,related to,fossils
background,related to,uplift
mountain,related to,background
background,related to,mountain
aretitle,related to,background
background,related to,aretitle
thing,related to,background
background,related to,thing
can,related to,background
background,related to,can
point crystal a,related to,background
background,related to,point crystal a
point,related to,background
background,related to,point
point thing,related to,background
background,related to,point thing
background,related to,lattice
point,different be,background
background,related to,study
point,determined,background
point,which,radiometricopes
radiometricopes,attribute,different
isot,related to,point
can,attribute,different radiometric
isotopes,related to,point
isotopes,attribute,different radiometric
isotopes,stop,diff
isotopes,stop diffusing,background
isotopes,stop diffusing,out
background,activity,##q
isotopes,stop diffusing,closure
isotopes,stop diffusing,lattice
background,activity,does
isotopes,stop diffusing,lattice mineral
isotopes,stop diffusing,crystal
isotopes,stop diffusing,crystal lattice
isotopes,stop diffusing,crystal lattice lattice
##q,activity,called
background,related to,temperature
temperatures,related to,background
background,related to,temperatures
##titletitle,related to,background
background,is are are,background
background,activity,is is do
temperature way,related to,background
background,related to,temperature way
profile,related to,point
background,related to,profile
point,determine,background
point,used,background
isotopes,attribute,radiometric
background,related to,isotopes
isotopes,stop di,##ff
background,activity,called
closure,attribute,particular
background,related to,howtitle
end,related to,age
background data,related to,text
sediment,related to,background
end,related to,background data
background,related to,units
rock,related to,background
isot,attribute,absolute
background,related to,age
background,related to,sediment sediment
background,related to,sediment
be therm,related to,background
background,related to,be therm
age,related to,background
way,related to,background
##ogy,related to,text
a a,related to,background
background,related to,a a
closure,activity,called
faulting,related to,titletitle
text,related to,title
faulting,related to,text
faulting,related to,title
thetitle,related to,title
depression,related to,title
nations,related to,title
faulting,related to,name
name name,related to,title
principle,related to,title
type,related to,name
faulting,related to,type
faulting,related to,rock
album,related to,name
faulting,related to,background
principle,related to,background
earth,related to,rock
rocks,related to,rock
top,related to,title
unit,related to,title
background,happens,background
background,activity,happens
rocks,activity,happens
background,when,kind
background,happens,rock
rock,activity,happens
background,happens,unit
background,activity,rock
unit rock,activity,happens
unit,activity,happens
background,activity,tends
background,activity,change
change,activity,change
volume,activity,change
background,activity,move
background,activity,moving
name,activity,change
unit,tends,background
unit,change affected,background
background,activity,changed
unit,change,background
background,related to,position
background,related to,whattitle
background,related to,kind
background,related to,structure
background,related to,fault
background,activity,folding
background,activity,placed
mud,folded,background
background,related to,principle
background,activity,name
background,related to,top
background,related to,super
principle,activity,rocks
background background background,related to,background background
background,related to,background background background
background,happens,rocks
background,related to,fold
background,related to,subject
background,happens happens,background
background,activity,folds
background,activity,thrust
the,activity,happens
background,happens,rock units
background,happens,rock units units
rock units,activity,happens
background,related to,compression
compression,are,background
background,related to,under
background,related to,pressure
background,related to,backgrounda
background,rocks,background
background,related to,folds
background,rock,units
background,activity,become
background,related to,vertical
background,related to,pressure compression
background,related to,compression compression
background,related to,pressure pressure
background,related to,compression pressure
background,related to,nota
intitle,related to,background
faulting,attribute,normal
title,related to,titletitle
title,was,title
title,related to,bey
title,related to,difference
title,related to,name
title,related to,name name
extension,related to,name
title,related to,extension
book,related to,name
title,related to,book
rock type,related to,name
song,related to,name
title,related to,song
title,related to,album
first,related to,name
title,related to,first
first,attribute,first
solo,attribute,first solo
album album,related to,first
album album,attribute,first first
title,related to,album album
album,attribute,first first
album album,related to,name
album album,attribute,first solo
album,attribute,first solo
danger b,related to,album
album,' d,title
love,related to,album
end,related to,love
titleq,related to,love
title,related to,titleq
title,related to,love
title,was was,title
title,was,end
title,related to,the
namebackground,related to,title
title,related to,namebackground
firstq,related to,title
title,related to,firstq
specialties,activity,separated
trend,related to,title
design,related to,trend
integration,related to,design
integration,separated,specialties
firms,related to,background
background,related to,firms
text,related to,titleq
build,related to,construction
specialties,related to,integration
kind,related to,titletitle
##tle,related to,title
##tle,activity,title
project,activity,undertake
construction,related to,skills
design,related to,text
background,related to,design
developers,related to,background
background,related to,developers
background,related to,construction construction
name,related to,developers
background,related to,skills
background,related to,construction
background,related to,contractor
background,related to,types types
background,related to,type type
background,related to,type a
background,related to,contract
background,related to,interior
stop,related to,background
background,related to,build
background,related to,shopping
construction,related to,background
kind,related to,background
project,related to,background
background,related to,project
background,related to,trend
name,related to,kind
contract,related to,background
background,related to,whenq
project,related to,contract
construction,related to,text
deformation,attribute,other
processes,attribute,other deformational
type,related to,processes
sediment name,related to,processes
sediment,related to,processes
events,related to,activity
volcan,related to,activity
gradient,related to,activity
activity,attribute,igneous
end,related to,activity
sediment,related to,text
intr,attribute,planar igneous
intrusions,attribute,planar igneous
dikes,related to,intrusions
title,related to,intrusions
end,related to,intrusions
end,related to,deformation
deformation,related to,text
##tle,related to,where
deformation,related to,type
deformation,related to,activity
dikes gradients,related to,dikes
activity,related to,background
background,related to,activity
sediment,related to,type
activity,related to,type
background,related to,results
background,related to,processes
background,related to,deformation
background,related to,activity word
deformation,results,background
background,related to,plan
title,related to,activity
top,attribute,top
space,related to,accommodation accommodation
background,related to,gradient
where type,related to,background
background,related to,where type
deformation lava,related to,background
background,related to,deformation lava
activity name,related to,background
background,related to,activity name
background,related to,sediment term
deformation,related to,background
background,related to,information
event,related to,text
background,related to,event
q type,related to,background
background,related to,q type
type type,related to,background
background,related to,material
background,is does,background
background,related to,volcan
activity word,related to,background
sediment way,related to,background
background,related to,sediment way
plan,related to,activity
plan,attribute,volcan
volcan gradients,related to,activity
background,related to,volcan gradients
volcanarism,related to,activity
background,related to,volcanarism
intrq,related to,activity
background,related to,intrq
intr,related to,activity
background,related to,intr
intrusions,related to,activity
intrusions,attribute,igneous
background,related to,intrusions
background,related to,dikes
intrusions,dikes,end
background,related to,backgroundtitle
type,related to,dikes
type d,related to,dikes
background,related to,type d
type dikes,related to,dikes
type dikes,form,background
type dikes gradients,related to,dikes
background,related to,example
howtitle,related to,background
background,describes,background
account account,related to,mortgage bankers
mortgage bankers,related to,account account
mortgage bankers,related to,cost
title,related to,cost engineers
mortgage bankers,related to,title
mortgage bankers,attribute,likely
mortgage bankers,related to,cost engineers
mortgage bankers,related to,titletitle
participants,related to,title
mortgage bankers,related to,participants
plan,attribute,overall
building construction project,related to,management
mortgage bankers,related to,text
presence,related to,title
mortgage bankers,related to,presence
cost engineers,related to,account
end,related to,cost engineers
account,related to,life
the,related to,life
project,related to,life
monitor,related to,project
##q,related to,cost engineers
cost engineers,related to,text
cost engineers,related to,title
cost engineers,related to,cost
materials,involved,valuation
valuation,attribute,proper
cost cost,related to,cost engineers
cost engineers,related to,cost cost
##im,related to,cost
cost engineers,related to,##im
costtitle,related to,cost engineers
cost engineers,related to,costtitle
estimators,related to,cost engineers
cost engineers,related to,estimators
title,related to,estimators
title,identifies,cost engineers
government,related to,title
who,related to,title
are contractor,related to,title
cost engineers,related to,are contractor
cost,related to,title
are,related to,title
building construction,related to,management
end,related to,building construction project
project changes,increased,costs costs
project changes,increased,costs
a a,related to,title
work,related to,text
study work,activity,relate
regarding,activity,relate
work,activity,relate
toq,related to,materials
type,related to,isq
rock,attribute,oldest
fold,related to,the
rock rock,attribute,oldest
world,related to,rock
rock,related to,world
a a,related to,world
background,has,background
rock,known,background
rock,found,background
type,are,background
good,related to,background
background,related to,rock rock
background,found,background
background,made,background
world,related to,background
world,located,background
canyon,related to,world
background,related to,canyon
background,related to,world
notq,related to,world
end,related to,world
##tle,related to,world
world,is has,background
type,related to,world
world,known,background
world,found,background
world,activity,rock
type,attribute,many
background,related to,area
title,related to,world
background,formed,background
##q,related to,world
background,related to,not
background,was was,background
background,type,background
in on,related to,background
side,related to,text
side,related to,what
title,activity,are
complex,related to,title
net ofcks,attribute,complex
net,related to,title
net,attribute,complex
contracts,related to,net
obligations a,related to,contracts
obligations,related to,contracts
obligations,attribute,other legal
end,related to,obligations
a obligations,related to,contracts
complex,attribute,complex
net net,attribute,complex
projects,related to,net
net,related to,contracts
obligations,attribute,legal
net,related to,obligations
set,related to,obligations
net,related to,set
delay,related to,delays
net,related to,##q
parties,attribute,more
net,related to,parties
contract,related to,parties
money,activity,costs
contracts,related to,delay
exchange,attribute,complex
delay,related to,obligations
backgroundcks,related to,text
end,related to,backgroundcks
bott,related to,background
background,related to,bott
background,related to,time contract
netlene,related to,background
netlene,attribute,complex
background,related to,netlene
net ofcks,related to,background
net,related to,background
background,related to,projects
background,related to,contracts construction
background,related to,projects a
background,related to,contracts
background,related to,othera
background,related to,obligations
backgroundq,related to,obligations
construction,related to,obligations
contract,related to,obligations
obligations,does,background
background,related to,##itle delay
result,related to,background
background,related to,result
background,related to,net
contracts,related to,background
background,related to,exchange time
background,related to,exchange complex
exchange,related to,background
a in,related to,exchange
background,related to,a in
element obligations,related to,exchange
thetitle,related to,background
background,does,the
time,related to,background
time,attribute,complex
exchanges,related to,contracts
background,related to,q a
titleq,related to,background
background,related to,titleq
background,is do,background
background,related to,exchange
text,are,background
backgroundles,related to,title
album,related to,background
gis,related to,background
gisonce,related to,background
c bin,related to,background
bij,related to,background
bijj,related to,background
##jn,related to,background
background background,related to,text
background,activity,are has
client,related to,background
background,related to,client
relationship,related to,background
role,related to,background
background,related to,role
background,related to,subcontract
architect,related to,relationship
background,related to,architect
background,related to,main
contractor,related to,architect
client,related to,architect
contract,related to,architect
thetitle,related to,architect
background,related to,thetitle
background,related to,inq
title,related to,architect
background,related to,who
background,related to,acts
background,related to,relationship
end,related to,owner owner
owner,related to,text
owner,related to,title
end,related to,owner
owner,related to,the
construction,related to,owner
owner,related to,construction
backgroundbackground,related to,printing
background,related to,printing
bang,related to,background
bang,attribute,big
printing,related to,background
theory,related to,background
the,related to,theory
sitcom,related to,background
sitcom,attribute,american
owner,related to,contractors
construction,related to,title
contractors,related to,owner
end,related to,contractor
owner,related to,designs
owner,activity,hired
owner,hired,owner
owner,activity,build
building phase,activity,begin
owner,related to,project
owner,related to,phase
owner,related to,contract
owner,related to,design
phase,related to,project
projectq,related to,project
project,design,phase
project,begin,owner
contractors,related to,text
phase,activity,design
design,activity,design
phase phase,activity,design
text,design,phase
titletitle,design,phase
construction,design,phase
happens,related to,title
contract,design,phase
owner owner,design,phase
requirements,related to,list
list,related to,requirements
list,related to,title
list,related to,overview
view,attribute,overall
list,related to,project
goals,related to,project
goals,happens,list
list,related to,goals goals
list,related to,goals
list,related to,construction
the,activity,design
000,related to,background
##tle,related to,000
background,have,background
background,activity,was did
salary,related to,background
background,related to,salary
salary average,related to,background
background,related to,salary average
average,related to,background
salary,attribute,average
background,related to,##m
middle,related to,salary
background,related to,middle
background,related to,professional
construction,related to,salary
end,related to,salary
construction,attribute,average
types,related to,text
level,related to,text
background,related to,level
background,related to,show
background,is do do,background
background,activity,is do
survey,related to,background
background,related to,survey
differences salary,attribute,average
earning,attribute,average
background,related to,earning
construction,related to,professional
construction construction,related to,professional
middle,related to,professional
middle,attribute,middle
background,related to,roles
industry,related to,professional
background,related to,industry
background,related to,east
end,related to,backgrounda
nottitle,related to,background
background,related to,nottitle
roles,related to,background
background,related to,difference
background,related to,average
background,related to,fact
background,related to,architects
background,related to,due
background,related to,##a
construction construction,related to,construction
end,related to,construction construction
world,related to,occupations
construction,related to,cause
the,related to,construction
construction,related to,the
construction,related to,workers
occupational,attribute,fatal
fat,related to,construction
construction,related to,fat
construction,attribute,other
times,related to,construction workers
cause,attribute,common
injury injury,related to,cause
injury,related to,cause
site site,related to,injury
site,related to,injury
end,related to,site
site,falls,titletitle
cause cause,attribute,common
electrocution,related to,transportation accidents
transportation accidents,related to,electrocution
ins,related to,trench cave
bey,related to,title
novel,related to,title
novel,attribute,great
safety equipment equipment,attribute,proper
safety equipment,related to,safety equipment equipment
safety equipment,attribute,proper
harness harness,related to,safety equipment
safety equipment,related to,harness harness
a a,related to,safety equipment
safety equipment,related to,a a
harness,related to,safety equipment
safety equipment,related to,harness
harnesseses,related to,safety equipment
safety equipment,related to,harnesseses
harnesses,related to,safety equipment
safety equipment,related to,harnesses
guard,related to,harnesses
safety equipment,related to,guard
guard guardrailrail,related to,harnesses
safety equipment,related to,guard guardrailrail
guardrails,related to,harnesses
guard guardrail,related to,harnesses
safety equipment,related to,guard guardrail
safety equipment,related to,guardrails
guardrailsrails,related to,harnesses
safety equipment,related to,guardrailsrails
procedures procedures,related to,guardrails
safety equipment,related to,procedures procedures
procedures,related to,guardrails
safety equipment,related to,procedures
securing securing,related to,procedures
safety equipment,related to,securing securing
securing,related to,procedures
procedures,securing,l l
procedures,securing,ladders
procedures,securing,laddersadders
safety equipment,related to,text
safety equipment,related to,inspectq
inspecttitle,activity,inspect
inspecting,##ing,safety equipment
safety equipment,activity,inspecting
scaff,activity,inspecting
scaff scaff,activity,inspecting
scaffoldingolding,activity,inspecting
scaffolding,activity,inspecting
construction,related to,injuries
safety equipment,related to,construction
workers,related to,text
end,related to,construction
causes,attribute,common
titletitle,related to,workers
background background,related to,background background background
background,activity,are is
term term,related to,background
term,used used,background
term,used,term
term,used,computer
background,related to,lab
name,related to,term term
term,used,boarding boarding
term,enriched,background
background,related to,boarding boarding
background,related to,boarding
background,related to,school
background,related to,schools
background,related to,student
background,related to,for
term,used,computer computers
term,used,boarding schools
name,related to,term
background,used,day
background,related to,university
background,related to,low
background,related to,schools school
background,related to,class
background,related to,classes
bey,related to,background
background,related to,bey
name term,related to,background
term,related to,##q
for,related to,background
schools,related to,term
title,related to,schools
term,related to,title
end,related to,term
schools,related to,text
schools,related to,title
schools,related to,background
##20,related to,background
the,related to,1990s
began,related to,decade
began,attribute,significant
change,related to,decade
denomination,related to,title
title,related to,denomination
group,related to,title
title,related to,group
group term,related to,title
title,related to,group term
school,related to,name
title,related to,school
school,attribute,religious
schools,related to,name
schools,attribute,religious
schools schools,attribute,religious
education,related to,text
education,attribute,religious
end,related to,education
education,related to,title
titletitle,related to,education
education,related to,titletitle
title,related to,education
education,related to,type
education,related to,religion
school,related to,title
education,related to,school
education,related to,term par
does,related to,title
education,related to,term
education,related to,schools
school,related to,term
schools schools,related to,term
education,related to,schools schools
education,related to,the
addition,related to,schools
education,related to,addition
education,related to,academic
education,attribute,secular
curriculum,attribute,secular
education,related to,curriculum
end,related to,curriculum
academic,attribute,academic
education education,attribute,religious
education,related to,education education
school,related to,type
end,related to,schools
##tle,related to,text
schools,related to,education
##omin,attribute,den
##q,related to,schools
education,related to,##q
title,related to,curriculum
##tle,related to,education
education,related to,name
term,related to,education
schools,related to,school
children,related to,background
background,related to,children
background,are do,background
background,activity,do did
name school,related to,background
background,related to,name school
difference,related to,background
background,related to,name purpose
background,related to,first
background,related to,present
solo,related to,first
background,related to,studio
album,related to,first
background,related to,album
background,related to,curriculum
background,related to,education
background,related to,alongtitle
background,related to,religion
title,activity,protect
percentage,attribute,german
percentage,related to,students students
students students,related to,percentage
percentage,related to,students
students,related to,percentage
students,attended,percentage
schools,related to,students
percentage,related to,schools
school,related to,students
school,related to,schools
percentage,related to,school
percentage,related to,##q
percentage,related to,text
##title,related to,background
end,related to,1title
qtitle,related to,background
background,related to,qtitle
background,related to,article
article,related to,background
percentage,related to,background
percentage,did,background
background,related to,percentage
background,related to,students
students,attended,background
students,attended,students
students,attribute,private
students,attended,schools
schools,attribute,private
background,related to,high
background,related to,background nottitle
##q a,related to,background
students,percentage,background
article,related to,percentage
##ule,related to,text
titletitle,related to,##ule
##ule,related to,titletitle
##ule,related to,term
series,related to,background
author,related to,novel
author,attribute,american
writer,related to,novel
end,related to,##ule
percentage,related to,title
percentage,attribute,what
money,related to,title
tuition,related to,name
population,related to,name
school,related to,public
private,attribute,private
tuition,related to,title
title,related to,tuition
school,attribute,private
tuition,related to,school
tuition,related to,schools
schools schools,attribute,private
end,related to,countries
tuition,related to,text
article,related to,article article
son,related to,text
verb,related to,text
percentage,attribute,private
##der,related to,son
son,related to,##ver
lab,related to,text
ing,related to,background
##tle,related to,ing
interferenceq,related to,twinning
interference properties,related to,twinning
title,related to,interference properties
background,related to,##ti
background,related to,primary
background,related to,purpose
background,related to,microscope
rocks,related to,text
samples,related to,background
background,related to,samples
##q kind,related to,background
background,related to,##q kind
background,the,background
locations,related to,individual
background,related to,locations
end,related to,individual
title,related to,individual
microscopy,attribute,optical
difference,related to,text
can a,related to,rock samples
lens,related to,title
type a,related to,background
high,attribute,high
inclusion data,attribute,fluid
temperatures,attribute,high
temperature,attribute,high
experiments,related to,pressure
experiments,attribute,physical
data,related to,temperature
pressure,related to,temperature
end,related to,experiments
temperature,related to,text
how,related to,title
temperature,related to,title
field,related to,title
petrologists,related to,title
petrologists,understand,fluid
rocks,related to,crystallization
rocks,attribute,igneous
title,related to,processes
processes,related to,text
title,related to,rocks
how how,related to,title
pet,related to,title
inclusion data,related to,data
end,related to,temperature
background,related to,faults
section,related to,background
background,related to,section
information,attribute,structural structural
experiments geologistologist,attribute,structural
background,related to,experiments geologistologist
experiments geologist,attribute,structural
background,related to,experiments geologist
experimentsologistsologists,attribute,structural
background,related to,experimentsologistsologists
experimentsologists,attribute,structural
experimentsologists,plot,background
experimentsologists,compare,background
experimentsologists,combine,measurements
background,related to,structures
inq,related to,structures
background,related to,order
background,related to,numer
background,related to,reconstruct
background,related to,experiments
orientation,related to,text
background,related to,orientation
faults,related to,background
type,does,background
background,do does,background
geologist,related to,background
geologist,attribute,structural
geologistsologist,related to,background
geologistsologist,attribute,structural
geologistsologist,reconstruct,background
geologist,plot reconstruct,measurements
geologists,related to,background
geologists,attribute,structural
plot,related to,geologist
geologist,combine,measurements
structure,related to,geological
background background,related to,structures
ge experiments,related to,kind
ge experiments,attribute,structural
background,related to,ge experiments
geologists,related to,kind
background,related to,geologists
background,understand,background
background,folds,background
numer,related to,numer numer
experiment,related to,background
background,related to,experiment
settings settings,attribute,small
settings,attribute,small
background,related to,settings
background,related to,analog
experiments,related to,background
experiment,does,background
difference,attribute,structural
history,related to,background
oro,related to,text
wedges,related to,oro
wedges,attribute,##genic
title,related to,wedges
oro,related to,title
oro,related to,what
numer,related to,title
oro,related to,numer
oro,attribute,great
debut,attribute,second
danger,related to,album
first,related to,title
models,related to,title
way,attribute,same
models,include,patterns
##q,related to,title
whattitle,related to,title
end,related to,background models
background,activity,are do
well pathways,related to,background
background,related to,well pathways
background,known,background
pathways,known,background
background,related to,erosion
experiments,attribute,well
analog,related to,erosion
background,known,experiments
experiments,activity,known
experiments,attribute,known
background,related to,patternsology
background,related to,mountains
fault,related to,patterns
ing,related to,fault
background,related to,ing
numer,related to,fault
background background,related to,fault
layers studies,related to,background
background,related to,layers studies
background backgroundtitle,related to,backgroundq
background background,related to,background backgroundtitle
background,activity,known
end,related to,backgroundology
background,related to,background ge
background,related to,##ogy
background,activity,do does
background,related to,studies
well,related to,background
background,related to,well
background,known,analog
analog,attribute,common
background,known,##or
##or,attribute,common
experiments experiments,activity,known
analog,attribute,analog
background,activity,involving involving
patterns,related to,experiments
background,related to,patterns
patterns,attribute,structural
faultology,related to,patterns
background,related to,faultology
##ground,related to,title
person,related to,title
##background,related to,title
rock,attribute,english
band,related to,title
rock band,attribute,english
rock band,related to,title
rock band,formed,band
rock band,formed,group
surveysysics,attribute,geophysical
surveys,related to,text
surveys,attribute,geophysical
titletitle,related to,surveys
surveys,related to,titletitle
typeigraphy,related to,title
##ers,related to,title
isers,related to,title
computer programs,related to,title
data,related to,computer programs
surveys,related to,data
surveys,activity,reconstruct
environments,attribute,past
use,related to,caners
##q,related to,##title
earth,interpret,past
past,attribute,past
earth,interpret,environments
processes,attribute,ancient
surface,related to,earth
government,related to,text
background,related to,government
private,related to,background
background,related to,private
name,attribute,public
name,funded,school
name,called,states
background,related to,##it
background,related to,whatq types
background,related to,are name
school,activity,called
backgroundq,related to,backgroundqtitle
types,related to,background
organizations,related to,background
background,related to,organizations
background,related to,individuals
background,related to,groups
background,related to,run
schools,called,background
background,related to,group
name,activity,are
schools,related to,difference
name,activity,called
school,attribute,public
school,called,background
schools,related to,schools schools
school,attribute,independent
assistance,attribute,financial
title,related to,board
title,related to,examination
##title,related to,title
title,related to,##title
title,related to,thetitle
the,related to,thetitle
name,related to,thetitle
title,related to,states
title,related to,titles
title,related to,what
title,related to,term
name,used,title
examination,related to,term
board,related to,examination
the,related to,term
examination a a,related to,term
title,related to,examination a a
board,related to,term
examination,related to,board
state,related to,term
title,related to,state
board,attribute,multiple
states,related to,term
states,attribute,multiple private
term,states,title
state,related to,title
title,related to,these
private,related to,term
title,related to,private
title,related to,##titletitle
a a,related to,term
school school,related to,term
government,related to,school
aid,related to,school
aid,attribute,financial
aid aid,attribute,financial
end,related to,government
title,related to,government
government,aided,term
schools,activity,aided
##tle,related to,schools
title,activity,aided
name,activity,used
state,related to,government
government,related to,schools
schools,receive,school
